公司名称,工商名称,公司网址,成立时间,地点,运营状态,行业,子行业,融资时间,轮次,融资金额,投资方,融资总额,估值,团队,公司简介,详细地址,公开电话,公开邮箱,笔记
中科创达,中科创达软件科技（北京）有限公司,http://www.thundersoft.com,2008-03,北京-海淀区,运营中,硬件,综合硬件,2015-11-23,IPO上市,数千万人民币,-,3.28亿,未透露,"耿增强:总裁,赵鸿飞:CEO,段志强:CTO","Thundersoft中科创达是一家智能终端平台技术提供商，是Android核心技术和整体解决方案提供商, 通过提供完整的Android方案和服务，帮助OEM客户快速推出高品质产品。",,86.13910507,TIANZY1225@THUNDERSOFT.COM,-
,,,,,,,,2014-11-05,B轮,数千万美元,英特尔投资Intel Capital,,,,,,,,
,,,,,,,,2011-06-01,A轮,1亿人民币,"北极光创投,高通Qualcomm Ventures",,,,,,,,
,,,,,,,,2010-09-09,天使轮,数百万人民币,PreAngel,,,,,,,,
优爱宝机器人,上海优爱宝智能机器人科技股份有限公司,http://www.uirobot.com,2009-08,上海-浦东新区,运营中,硬件,机器人,2016-06-29,新三板,未透露人民币,-,500万,未透露,朱海鸿:创始人及董事长,上海优爱宝机器人技术有限公司致力于模块化工业自动控制系统及机器人的研制和销售。,上海浦东秀浦路3188弄创研智造C7-28号,021-6118-2432,info@uirobot.com,-
,,,,,,,,2015-08-07,C轮,未透露人民币,"明道投资,东熙资本",,,,,,,,
,,,,,,,,2014-04-11,B轮,未透露人民币,真金投资,,,,,,,,
,,,,,,,,2011-05-01,A轮,500万人民币,中路资本,,,,,,,,
yeelight,青岛亿联客信息技术有限公司,https://www.yeelight.com/,2010-12,山东-青岛,运营中,硬件,智能家居,2018-11-14,C轮,未透露人民币,"顺为资本,凯辉基金,GIC新加坡政府投资公司,蓝图创投",2145万,未透露,"姜兆宁:联合创始人,刘达平:联合创始人",YeeLight是一家智能照明产品研发商，致力于为用户提供整体的智能照明解决方案。旗下有吸顶灯系列、台灯系列、基础照明、氛围照明等产品。产品通过智能手机连接到灯泡，可以控制灯泡的颜色和亮度等功能，还可以让用户自定义延时开灯和延时关灯等功能。,山东省青岛市崂山区松岭路169号国际创新园B座F10-B4,400-619-7969,jishanling@yeelight.com,-
,,,,,,,,2018-06-14,B轮,未透露人民币,-,,,,,,,,
,,,,,,,,2014-02-13,A轮,数百万美元,"顺为资本,小米科技",,,,,,,,
,,,,,,,,2013-03-13,天使轮,数十万美元,"HAX,SOS Ventures",,,,,,,,
华院数据,华院数据技术（上海）有限公司,http://www.huaat.com,2002-03,上海-长宁区,已转型,企业服务,数据服务,2014-05-17,B轮,数千万人民币,红杉资本中国,3000万,未透露,"宣晓华:董事长,宋向平:联合创始人",华院数据是一家专注于数据挖掘和数据分析的服务公司。,上海市长宁区长宁路855号亨通国际大厦12层,86-21-62525065,market@huaat.com,-
,,,,,,,,2012-01-01,A轮,未透露人民币,红杉资本中国,,,,,,,,
亮风台,亮风台（上海）信息科技有限公司,http://www.hiscene.com,2012-11,上海-浦东新区,运营中,硬件,其他硬件服务,2017-08-16,B轮,数亿人民币,"美图,索道投资,源星资本",3.63亿,未透露,"廖春元:CEO,唐荣兴:联合创始人",亮风台是一家专注AR核心技术与产品研发的公司，拥有自主知识产权的移动增强现实、大规模精准图像识别等全球领先技术，致力成为提供最自然人机交互服务、挖掘最深度数据价值的人工智能公司。已率先推出技术领先的增强现实开发平台HiAR SDK以及国内首款基于视觉交互的增强现实智能眼镜HiAR Glasses。,,021-61049798,business@hiscene.com,-
,,,,,,,,2015-11-27,A+轮,数千万人民币,"GGV纪源资本,索道投资,源星资本",,,,,,,,
,,,,,,,,2015-01-07,A轮,数千万人民币,美图,,,,,,,,
,,,,,,,,2013-01-01,天使轮,数百万人民币,初创投资,,,,,,,,
南京芝麻科技,南京芝麻信息科技有限公司,http://www.zhimatech.com,2013-05,江苏-南京,运营中,企业服务,数据服务,2017-02-17,A轮,数千万人民币,"深创投,品友互动,Withinlink碚曦投资",3400万,未透露,朱智:创始人,芝麻科技是国内领先的线下大数据服务公司，致力于线下消费者大数据的采集及精细数据分析，通过数据服务驱动商业效率的提升。是Wi-Fi感知设备并结合数据挖掘的领军者，芝麻科技拥有该项技术国家发明专利，与阿里巴巴，腾讯，中国移动，中国电信，群邑集团，品友互动，个推，德勤等一批业内领军企业缔结战略合作关系。,,86.25836274,jszhuzhi@yahoo.com.cn,-
,,,,,,,,2015-07-30,Pre-A轮,未透露人民币,光信资本,,,,,,,,
,,,,,,,,2013-12-01,天使轮,400万人民币,联想之星,,,,,,,,
微动Vidoo,天津锋时互动科技有限公司,http://www.sharpnow.com,2011-07,北京-朝阳区,运营中,硬件,消费电子,2016-06-16,战略投资,1800万人民币,江南化工,5100万,未透露,"刘津甦:董事长,刘哲:总经理,张硕:前端研发总监,党建勋:硬件研发总监",锋时互动提供前沿智能人机交互技术及相关系统解决方案，专注于非接触体感输入设备的研发、生产与推广，产品有智能人机交互平台“微动Vidoo”等。,,4008356099,business@sharpnow.com,-
,,,,,,,,2016-06-02,A轮,数千万人民币,"如山资本,上汽投资-尚颀资本",,,,,,,,
,,,,,,,,2014-11-01,Pre-A轮,未透露人民币,真格基金,,,,,,,,
,,,,,,,,2014-01-31,天使轮,数百万人民币,"真格基金,经纬中国",,,,,,,,
哦啦语音助手,旭上电子（上海）有限公司,http://www.olavoice.com,2013-04,上海-浦东新区,运营中,工具软件,实用生活服务,-,-,-,-,-,-,,哦啦语音助手是一款全新语音类集工具和娱乐为一体的手机应用。,,+86.021-387646886334,ningliu@s3graphics.com,-
Broadlink,杭州古北电子科技有限公司,http://www.broadlink.com.cn,2013-07,浙江-杭州,运营中,硬件,智能家居,2018-02-05,D轮,3.43亿人民币,"百度公司,中信产业基金",4.8亿,未透露,"刘宗孺:CEO,姚博:CMO",Broadlink是一家智能家居设备研发商，通过整合物联网、云计算、大数据及人工智能等先进技术，打造全新的智能家电互联平台CloudThink，主要智能家居系列产品包括智能遥控、智能插座、智能环境监测仪等。,浙江省杭州市滨江区江虹路611号上峰电商产业园1号楼106室,400-0900-955,support@broadlink.com.cn,-
,,,,,,,,2016-03-01,C轮,7000万人民币,"创新工场,招商局创投",,,,,,,,
,,,,,,,,2014-05-01,B轮,1000万美元,"奇虎360,京东",,,,,,,,
,,,,,,,,2013-12-01,A轮,未透露人民币,京东,,,,,,,,
,,,,,,,,2013-10-01,天使轮,30万美元,"红杉资本中国,高通Qualcomm Ventures",,,,,,,,
七牛云,上海七牛信息技术有限公司,http://www.qiniu.com,2011-08,上海-浦东新区,运营中,企业服务,IT基础设施,2017-08-28,E轮,10亿人民币,"阿里巴巴,云锋基金",20.6亿,未透露,"许式伟:CEO,吕桂华:COO,徐立:联合创始人",七牛云做为国内领先的企业级云服务商，同时也是国内最有特色的智能视频云服务商，专注于以数据为中心的云计算业务研发和运营同时，围绕富媒体场景利用对象存储、融合 CDN 加速、智能多媒体API、容器计算云、大数据平台、人工智能等产品的协同，为各种行业提供可持续发展的智能视频云生态，帮助企业快速上云，创造更广阔的商业价值。,上海市浦东新区亮秀路112号  Y1座3楼,400-808-9176,marketing@qiniu.com,-
,,,,,,,,2016-01-26,D轮,1亿美元,"方广资本,澳洲电信投资,嘉实投资-嘉实基金,张江集团",,,,,,,,
,,,,,,,,2014-08-01,C轮,数千万美元,"经纬中国,启明创投,宽带资本CBC",,,,,,,,
,,,,,,,,2013-01-01,B轮,数千万美元,"经纬中国,启明创投",,,,,,,,
,,,,,,,,2011-10-12,A轮,数百万美元,经纬中国,,,,,,,,
舆情早报网,北京智慧星光信息技术有限公司,http://www.yqzbw.com,2012-02,北京-海淀区,运营中,广告营销,其他广告,-,-,-,-,-,-,"李青龙:总裁,兰宇:副总裁,关懿新:副总裁",舆情早报网是一个舆情监控、智能情报和信息服务平台，隶属于北京智慧星光信息技术有限公司，旗下还有舆情秘书、舆情专家等服务。,,,,-
IT桔子,北京岁月桔子科技有限公司,https://www.itjuzi.com,2013-05,北京-海淀区,运营中,企业服务,数据服务,2015-10-18,B轮,数百万美元,华兴资本,3400万,未透露,"文飞翔:CEO,刘光宇:技术总监",IT桔子是一个关注新经济领域创业与投资的数据库，致力于为用户提供结构化的公司数据和商业信息，北京岁月桔子科技有限公司旗下产品。,北京市海淀区鼎好大厦A座801,010-5288-2546,hello@itjuzi.com,-
,,,,,,,,2014-10-31,A轮,200万美元,"IDG资本,北极光创投,华兴资本",,,,,,,,
,,,,,,,,2013-05-21,天使轮,150万人民币,"PreAngel,极客帮创投,蒋涛",,,,,,,,
上海优同科技,上海优同科技有限公司,http://www.youngtone.cn,2009-05,上海-浦东新区,运营中,文化娱乐,视频,-,-,-,-,-,-,,上海优同科技有限公司专业从事语言、语音技术和人脸动画等人机交互技术研发与应用，已开发出中文语音合成引擎及多国语言语音合成引擎、语音识别和人脸动画引擎等。,,,,-
灏泷智能,灏泷智能科技（上海）有限公司,,2011-10,上海-浦东新区,已关闭,汽车交通,车联网及硬件,-,-,-,-,-,-,张磊:董事长,灏泷智能科技（上海）有限公司是一家生物模式识别、人像识别技术服务商，产品有DSD防瞌睡疲劳驾驶预警方案、DSD行车安全电脑等。,,,,-
DFRobot智位机器人,上海智位机器人股份有限公司,http://www.dfrobot.com.cn,2010-02,上海-浦东新区,运营中,硬件,机器人,2016-08-25,新三板,未透露人民币,-,3300万,未透露,叶琛:CEO,DFRobot是一家开源硬件、机器人产品服务商，为专业和入门级创客提供全方位的软硬件支持，提供开源硬件产品、机器人及零配件产品和知识型创客社区，隶属于上海智位机器人股份有限公司。,上海市浦东新区亮秀路112号Y1座615室,021-61620183,,-
,,,,,,,,2015-05-29,A轮,数千万人民币,"华登国际,湖杉资本",,,,,,,,
,,,,,,,,2013-07-30,天使轮,数百万人民币,"上海浦软创投,晨晖创投",,,,,,,,
Feekr旅行,杭州岳纳姗网络科技有限公司,http://www.feekr.com/,2013-02,浙江-杭州,运营中,旅游,旅游工具及社区,2014-05-01,天使轮,数百万人民币,鼎晟天平投资,300万,1500万元,"罗艳:产品与设计负责人,陈光飞:技术架构负责人,沈涛:移动端架构负责人,潘小平:前端技术负责人,李洋:市场运营负责人",Feekr旅行分享汇是一个与好友分享旅游回忆的网站，此外还提供旅游攻略、线路建议服务等，杭州岳纳姗网络科技有限公司旗下。,,,,-
深圳中光远科技,深圳市中光远科技有限公司,http://www.cneop.com,2009-06,广东-深圳,运营中,企业服务,行业信息化及解决方案,2010-01-01,天使轮,数百万人民币,旦恩资本,300万,1500万元,王玉璘:创始人,深圳中光远科技是一家物联网服务商，专注自动识别与数据采集技术(AIDC)在商超、快递、物流、金融、交通等行业的应用研发与系统集成。产品包括：条形码数据采集器、RFID数据采集器等。,,86.75589808,yulin_wang@yahoo.cn,-
深圳海极光科技,深圳市海极光科技有限公司,http://www.hizkon.cn,2012-10,广东-深圳,运营中,硬件,传感器及中间件,-,-,-,-,-,-,"蓝惠标:CEO,张海清:市场总监",深圳海极光科技致力于体感型人机交互方案的研发，主打家庭互动娱乐产品，提供体感遥控器等产品，可用于网络机顶盒、智能电视等。,,,,-
游迹语音助手,北京游迹天下信息科技有限责任公司,http://www.uooji.com,2013-03,北京-海淀区,运营中,本地生活,本地综合生活,-,-,-,-,-,-,"钱序:联合创始人,梁川:CTO",游迹语音助手是一个基于语音的移动本地生活服务提供商，北京游迹天下信息科技有限责任公司旗下。,,,UOOJI.COM@PROXY.DREAMHOST.COM,-
深圳绿拓科技,深圳绿拓科技有限公司,,2009-12,广东-深圳,已关闭,硬件,智能家居,-,-,-,-,-,-,蒙国洗:创始人,深圳绿拓科技致力于研发和推广绿色科技，产品包括各类传感器、控制器、基于总线的系统级控制管理硬软件、远程监控系统等。,,,,-
Slamtec思岚科技,上海思岚科技有限公司,http://www.slamtec.com,2013-10,上海-浦东新区,运营中,硬件,机器人,2017-07-11,C轮,1.5亿人民币,"信中利资本,国科投资,国家中小企业发展基金（国中创投）",2.63亿,未透露,陈士凯:创始人,Slamtec思岚科技是一家基于激光雷达的机器人定位导航解决方案供应商，致力于为国内外企业客户提供基于激光雷达的机器人定位导航解决方案。现有的产品主要是低成本的360度激光雷达扫描测距传感器RPLIDAR和自主机器人同步建图（SLAM）及定位导航解决方案。,中国 上海市浦东新区张江高科技园区盛夏路666号盛银大厦D-501,(+86) 21 68581569,sales@slamtec.com ,-
,,,,,,,,2016-01-18,B轮,1亿人民币,常春藤资本,,,,,,,,
,,,,,,,,2015-08-21,A轮,1000万人民币,"磐谷创投,谦石高新创投",,,,,,,,
,,,,,,,,2014-10-24,天使轮,数百万人民币,磐谷创投,,,,,,,,
快说语音助手,快说（上海）网络技术有限公司,,2012-03,江苏-南京,运营中,企业服务,行业信息化及解决方案,2012-06-01,天使轮,数百万人民币,"PreAngel,戈壁创投",300万,1500万元,"邢献杰:CEO,黄程昱:CTO",快说致力于为手机和车机用户提供智能语音交互产品及解决方案，提供了语音助手、语音导航等应用。快说（上海）网络技术有限公司开发。,,,,-
独到科技,独到科技（北京）有限公司,http://www.doodod.com,2011-07,北京-海淀区,运营中,企业服务,数据服务,-,-,-,-,-,-,"张文浩:联合创始人,马扬:联合创始人",独到科技是一个基于微博数据的分析服务商，通过详尽的可视化数据帮您洞悉微博传播相关数据，评估微博传播质量等。,,,,-
时趣互动,时趣互动（北京）科技有限公司,http://www.social-touch.com,2005-11,北京-海淀区,运营中,广告营销,整合营销传播,2015-08-31,D轮,5850万美元,联想集团,6.05亿,未透露,张锐:CEO,时趣互动科技（Social Touch）成立于2011年，是一家社会化管理系统、服务与数据解决方案提供商。旗下有众趣、品趣、明客、星客等产品。,北京市海淀区清华大学照澜院清华正大服务楼4809室,86.10875298,companyreg@social-touch.com,-
,,,,,,,,2013-09-28,C轮,数千万美元,"君联资本,GGV纪源资本,Sierra Ventures",,,,,,,,
,,,,,,,,2011-01-01,B轮,未透露美元,"君联资本,GGV纪源资本",,,,,,,,
,,,,,,,,2009-01-01,A轮,数千万人民币,君联资本,,,,,,,,
虫洞语音助手,北京光年无限科技有限公司,,2010-09,北京-海淀区,运营中,工具软件,位置定位,2014-07-12,A轮,未透露人民币,-,-,未透露,"俞志晨:CEO,郭家:COO",虫洞语音助手是一款生活类语音工具，通过语音指令、提供各类生活服务，如订票、周边美食等，北京光年无限科技有限公司旗下。,,,,-
触景无限,触景无限科技（北京）有限公司,http://www.senscape.cn/,2010-09,北京-朝阳区,运营中,工具软件,浏览器,2017-03-02,A+轮,5000万人民币,"正和岛正和磁系资本,清控银杏创投",6300万,未透露,"陆凡:CEO,肖洪波:CTO",触景无限，致力于发展移动增强现实平台的高科技公司，主打产品为AR浏览器。触景无限科技（北京）有限公司旗下。,,,,-
,,,,,,,,2016-09-17,A轮,1000万人民币,"荷塘创投（启迪创投）,正和岛正和磁系资本",,,,,,,,
,,,,,,,,2011-02-01,天使轮,数百万人民币,PreAngel,,,,,,,,
旷视科技Face++,北京旷视科技有限公司,https://megvii.com/,2011-10,北京-海淀区,运营中,企业服务,行业信息化及解决方案,2018-07-23,D轮,6亿美元,"阿里巴巴,博裕资本",78.55亿,未透露,"印奇:CEO,唐文斌:CTO,杨沐:联合创始人兼工程副总裁",北京旷视科技有限公司成立于 2011年10月，是中国领军的人工智能产品公司。旷视以深度学习和物联传感技术为核心，立足于自有原创深度学习算法引擎 Brain++，深耕金融安全，城市安防，手机 AR，商业物联，工业机器人五大核心行业，致力于为企业级用户提供全球领先的人工智能产品和行业解决方案。,北京市海淀区科学院南路2号融科资讯中心A座3层,400-6700-866,business@megvii.com,-
,,,,,,,,2017-10-31,C+轮,4.6亿美元,"SK电讯创投(中国),蚂蚁金服(阿里巴巴),富士康,阳光保险,中国国有资本风险投资基金（国风投基金）,中俄投资基金",,,,,,,,
,,,,,,,,2016-12-06,C轮,1亿美元,"启明创投,富士康,建银国际",,,,,,,,
,,,,,,,,2016-11-22,B+轮,2000万美元,鸿海集团Foxconn,,,,,,,,
,,,,,,,,2014-11-05,B轮,2500万美元,"创新工场,启明创投,蚂蚁金服(阿里巴巴)",,,,,,,,
,,,,,,,,2013-07-01,A轮,数百万美元,创新工场,,,,,,,,
,,,,,,,,2012-08-12,天使轮,数百万人民币,"联想之星,联想创投集团",,,,,,,,
微邀请,北京微邀天下科技有限公司,http://wyaoqing.com,2013-06,北京-朝阳区,运营中,工具软件,其他工具,-,-,-,-,-,-,陈智元:创始人,微邀请是一个全新的电子请帖服务，提供移动互联网时代的婚礼邀请、会议邀请、聚会邀请、活动邀请等服务。北京微邀天下科技有限公司旗下。,,86.10694793,sunstear@163.com,-
思必驰,苏州思必驰信息科技有限公司,http://www.aispeech.com,2007-10,江苏-南京,运营中,企业服务,行业信息化及解决方案,2018-06-26,D轮,5亿人民币,"深创投,元禾控股,联发科MTK,富士康,中民投",8.3亿,未透露,"高始兴:CEO,俞凯:联合创始人/首席科学家",思必驰由剑桥大学团队创立于2007年，2008年回国创业。是国内唯一拥有人机对话技术，国际上极少数拥有自主产权、中英文综合语音技术的公司之一，先后获得三轮融资。思必驰是国内唯一专注于智能硬件领域的语音公司，主要面向智能硬件三个垂直领域：智能车载、智能家居和智能机器人，提供自然语言交互解决方案。,苏州工业园区星湖街328号创意产业园9-703,180-1558-8312,bd@aispeech.com,-
,,,,,,,,2016-09-26,C+轮,未透露人民币,-,,,,,,,,
,,,,,,,,2016-01-18,C轮,2亿人民币,阿里巴巴,,,,,,,,
,,,,,,,,2014-05-01,B轮,1亿人民币,DCM中国,,,,,,,,
,,,,,,,,2012-01-01,A轮,数千万人民币,"荷塘创投（启迪创投）,联想之星",,,,,,,,
个推,浙江每日互动网络科技股份有限公司,http://www.getui.com,2010-12,浙江-杭州,运营中,企业服务,B2D开发者服务,2017-06-28,E轮,未透露人民币,百度公司,13.22亿,未透露,"方毅:CEO,叶新江:技术副总裁",个推是一家推送技术服务商，致力于提供Android和iOS推送SDK，帮助企业和开发者快速建立推送系统，有效提高APP活跃度，增加用户粘性。以推送技术为基础，个推同时发展了大数据和移动营销业务，目前已成为基于大数据的移动互联网综合服务提供商。,浙江省杭州市西湖区西溪路525号A楼西区418室,400-680-8606,support@getui.com,-
,,,,,,,,2016-11-20,D轮,4亿人民币,"百度公司,美国中经合集团,赛富基金,伯乐纵横投资,墨白资本",,,,,,,,
,,,,,,,,2016-04-07,C轮,7亿人民币,"百度公司,美国中经合集团,赛富基金,民生银行(民银国际),墨白资本,海通证券",,,,,,,,
,,,,,,,,2014-07-01,B轮,数千万美元,"美国中经合集团,赛富基金",,,,,,,,
,,,,,,,,2011-03-01,A轮,数百万美元,美国中经合集团,,,,,,,,
,,,,,,,,2010-12-10,天使轮,700万人民币,-,,,,,,,,
美洽,成都美洽网络科技有限公司,http://meiqia.com/,2014-05,四川-成都,运营中,企业服务,客户服务,2015-10-10,A轮,500万美元,"晨兴资本,Infinity Venture Partners（IVP）",3550万,未透露,"黄海波:CEO,程艳冬:COO,卢卫彬:产品设计师","美洽是一款精致、实用的在线客服软件，为企业快速搭建和用户实时沟通的桥梁。通过多平台接入、在线沟通、访客列表，历史对话、数据报表等模块，多方位的支持企业完成客服工作，帮助企业提高客户服务质量和营销转化率。目前，美洽已为超过 30,000 家企业提供服务，用户遍及医疗、教育、互联网、电子商务、金融、旅游等行业。",北京启明国际大厦 A 座 2 楼（北京总部）,400 0031 322,team@meiqia.com,-
,,,,,,,,2014-06-12,天使轮,数百万人民币,阿尔法公社,,,,,,,,
百分点,北京百分点信息科技有限公司,http://www.baifendian.com,2009-07,北京-朝阳区,运营中,企业服务,数据服务,2018-11-30,E轮,5亿人民币,"海通创意资本,广发乾和,丝路华创",11.74亿,未透露,"柏林森:CEO,苏萌:联合创始人",北京百分点是一家企业级大数据+AI 技术和产品提供商，专注于大数据操作系统、智能认知产品以及智能决策应用场景的搭建，使企业能高效、便捷地进行数据资产管理和价值实现。,北京市朝阳区北辰西路8号院2号楼北辰世纪中心A座16,beijing@baifendian.com,+86-10-84742000,-
,,,,,,,,2015-09-08,D轮,4亿人民币,光大集团,,,,,,,,
,,,,,,,,2014-07-25,C轮,2500万美元,高瓴资本,,,,,,,,
,,,,,,,,2013-07-01,B轮,1000万美元,"IDG资本,浙报传媒(东方星空)",,,,,,,,
,,,,,,,,2011-07-01,A轮,720万美元,"IDG资本,名信中国成长基金",,,,,,,,
小i机器人,上海智臻智能网络科技股份有限公司,http://www.xiaoi.com,2001-08,上海-嘉定区,运营中,企业服务,B2D开发者服务,2015-12-17,新三板,未透露人民币,-,7.59亿,未透露,"袁辉:CEO,朱频频:CTO",小i机器人是一家智能机器人技术提供和平台运营商，提供文本、语音等人机交互服务，上海智臻网络科技有限公司旗下。,上海市金沙江西路1555弄398号3楼,021-39518811,edwards.yuan@xiaoi.com,-
,,,,,,,,2015-08-19,E轮,数亿人民币,"蓝色光标,华泰证券",,,,,,,,
,,,,,,,,2014-11-10,D轮,4941万人民币,通鼎互联,,,,,,,,
,,,,,,,,2013-07-31,C轮,数千万美元,"宽带资本CBC,阿里巴巴,仁弘资本",,,,,,,,
,,,,,,,,2007-03-01,B轮,数千万美元,"IDG资本,清科创投,英特尔投资Intel Capital,德鼎创新基金(德丰杰龙脉),Militello Capital",,,,,,,,
,,,,,,,,2005-12-01,A轮,数百万美元,IDG资本,,,,,,,,
壹健康,北京多美视界智能科技有限公司,http://www.jiankangliao.com/,2012-08,北京-朝阳区,运营中,医疗健康,寻医诊疗,2017-02-28,A轮,数千万人民币,京东数科,4000万,未透露,于果:CEO,健康聊（后更名为壹健康）是一个移动医疗健康应用，提供病人与医生在线交流、咨询服务等，隶属于北京多美视界网络科技有限公司。,,,,-
,,,,,,,,2015-07-19,Pre-A轮,1000万人民币,秉鸿资本,,,,,,,,
有米广告,有米科技股份有限公司,http://www.youmi.net/,2009-01,广东-广州,运营中,广告营销,移动及网络广告,2015-11-10,新三板,数千万人民币,-,4.4亿,未透露,陈第:CEO,有米传媒是一家移动广告综合服务商，业务包括国内广告平台“有米广告”、海外广告平台“Adxmi”以及社会化媒体营销平台“米汇”。隶属于有米科技股份有限公司。,广州市番禺区小谷围青蓝街26号研发楼(有米科技)17楼,400-070-2010,service@youmi.net,-
,,,,,,,,2015-08-13,C轮,数亿人民币,"东方富海,广发信德,昆仑万维,仁弘资本",,,,,,,,
,,,,,,,,2013-08-01,B轮,1亿人民币,"同创伟业,小村资本",,,,,,,,
,,,,,,,,2011-03-01,A轮,1000万人民币,-,,,,,,,,
浩泊云动hopperclouds,成都浩泊云动科技有限公司,http://www.hopperclouds.com,2013-06,四川-成都,已转型,企业服务,人力资源,-,-,-,-,-,-,方园:CEO,成都浩泊云动科技有限公司（hopperclouds）专注于招聘和人力资源服务，基于数据挖掘及人工智能提供服务，旗下产品有聘宝、聘窗等。,,,,-
合合信息,上海合合信息科技发展有限公司,http://www.intsig.com/,2006-08,上海-杨浦区,运营中,工具软件,图像视频,2017-02-23,D轮,数亿人民币,"猪八戒网,中视资本,盛势资本Sunrise,京东数科",3.63亿,未透露,"镇立新:CEO,陈飒:联合创始人",合合信息专注于移动应用开发，在光学字符识别、手写识别、图像处理及自动图像增强等领域拥有自主知识产权的核心技术。旗下产品有：名片全能王（CamCard）、扫描全能王（CamScanner）、拍译全能王（CamDictionary）等,上海市杨浦区国定路335号三号湾七楼,400 608 3063,xuemei_liu@intsig.net,-
,,,,,,,,2015-04-30,C轮,数千万人民币,初灵信息,,,,,,,,
,,,,,,,,2012-01-12,B轮,数千万人民币,"经纬中国,东方富海",,,,,,,,
,,,,,,,,2011-01-20,A轮,数百万人民币,经纬中国,,,,,,,,
